Unnamed: 0,rectype,issueid,project_owner,project_name,actor,time,text,action,title
2,issue_comment,236,aio-libs,aioredis,popravich,2017-05-31 19:04:37,"Oh, I can't remember why I made it work this way, I guess there was a reason for this.
Currently when pool is created it starts async task waiting for ""close"" event to be set and
close & drop all connections (including connections in use).
I think this can be fixed to only set event flag and start this task from `close()` method.",nan,nan
3,issue_comment,236,aio-libs,aioredis,argaen,2017-06-01 07:34:50,"Yup, that was my intention. I'll provide a MR with the changes",nan,nan
4,issue_comment,236,aio-libs,aioredis,popravich,2017-06-01 07:35:53,ok,nan,nan
 , , , , , , , , , 
 , , , , , , , , , 
3,issue_comment,238,aio-libs,aioredis,codecov-io,2017-05-31 14:53:14,"# [Codecov](https://codecov.io/gh/aio-libs/aioredis/pull/238?src=pr&el=h1) Report
> Merging [#238](https://codecov.io/gh/aio-libs/aioredis/pull/238?src=pr&el=desc) into [master](https://codecov.io/gh/aio-libs/aioredis/commit/a9c386d525949bbd6d213e24b930ba0a102a1138?src=pr&el=desc) will **decrease** coverage by `0.16%`.
> The diff coverage is `n/a`.

[![Impacted file tree graph](https://codecov.io/gh/aio-libs/aioredis/pull/238/graphs/tree.svg?width=650&height=150&src=pr&token=THCDhqngRB)](https://codecov.io/gh/aio-libs/aioredis/pull/238?src=pr&el=tree)

```diff
@@            Coverage Diff            @@
##           master    #238      +/-   ##
=========================================
- Coverage   96.97%   96.8%   -0.17%     
=========================================
  Files          55      55              
  Lines        7492    7492              
  Branches      625     625              
=========================================
- Hits         7265    7253      -12     
- Misses        168     178      +10     
- Partials       59      61       +2
```


| [Impacted Files](https://codecov.io/gh/aio-libs/aioredis/pull/238?src=pr&el=tree) | Coverage Δ | |
|---|---|---|
| [aioredis/sentinel/pool.py](https://codecov.io/gh/aio-libs/aioredis/pull/238?src=pr&el=tree#diff-YWlvcmVkaXMvc2VudGluZWwvcG9vbC5weQ==) | `87.2% <0%> (-2.94%)` | :arrow_down: |
| [tests/sentinel\_failover\_test.py](https://codecov.io/gh/aio-libs/aioredis/pull/238?src=pr&el=tree#diff-dGVzdHMvc2VudGluZWxfZmFpbG92ZXJfdGVzdC5weQ==) | `87.96% <0%> (-0.76%)` | :arrow_down: |

------

[Continue to review full report at Codecov](https://codecov.io/gh/aio-libs/aioredis/pull/238?src=pr&el=continue).
> **Legend** - [Click here to learn more](https://docs.codecov.io/docs/codecov-delta)
> `Δ = absolute <relative> (impact)`, `ø = not affected`, `? = missing data`
> Powered by [Codecov](https://codecov.io/gh/aio-libs/aioredis/pull/238?src=pr&el=footer). Last update [a9c386d...f821ff1](https://codecov.io/gh/aio-libs/aioredis/pull/238?src=pr&el=lastupdated). Read the [comment docs](https://docs.codecov.io/docs/pull-request-comments).
",nan,nan
4,issue_comment,238,aio-libs,aioredis,pyup-bot,2017-06-09 11:55:19,Closing this in favor of #243,nan,nan
 , , , , , , , , , 
 , , , , , , , , , 
4,issue_comment,239,aio-libs,aioredis,codecov-io,2017-06-05 14:43:29,"# [Codecov](https://codecov.io/gh/aio-libs/aioredis/pull/239?src=pr&el=h1) Report
> Merging [#239](https://codecov.io/gh/aio-libs/aioredis/pull/239?src=pr&el=desc) into [master](https://codecov.io/gh/aio-libs/aioredis/commit/a9c386d525949bbd6d213e24b930ba0a102a1138?src=pr&el=desc) will **decrease** coverage by `0.05%`.
> The diff coverage is `100%`.

[![Impacted file tree graph](https://codecov.io/gh/aio-libs/aioredis/pull/239/graphs/tree.svg?token=THCDhqngRB&src=pr&height=150&width=650)](https://codecov.io/gh/aio-libs/aioredis/pull/239?src=pr&el=tree)

```diff
@@            Coverage Diff             @@
##           master     #239      +/-   ##
==========================================
- Coverage   96.97%   96.91%   -0.06%     
==========================================
  Files          55       55              
  Lines        7492     7379     -113     
  Branches      625      582      -43     
==========================================
- Hits         7265     7151     -114     
  Misses        168      168              
- Partials       59       60       +1
```


| [Impacted Files](https://codecov.io/gh/aio-libs/aioredis/pull/239?src=pr&el=tree) | Coverage Δ | |
|---|---|---|
| [tests/pool\_test.py](https://codecov.io/gh/aio-libs/aioredis/pull/239?src=pr&el=tree#diff-dGVzdHMvcG9vbF90ZXN0LnB5) | `98.24% <100%> (ø)` | :arrow_up: |
| [aioredis/sentinel/pool.py](https://codecov.io/gh/aio-libs/aioredis/pull/239?src=pr&el=tree#diff-YWlvcmVkaXMvc2VudGluZWwvcG9vbC5weQ==) | `86.42% <100%> (-3.71%)` | :arrow_down: |
| [tests/sentinel\_failover\_test.py](https://codecov.io/gh/aio-libs/aioredis/pull/239?src=pr&el=tree#diff-dGVzdHMvc2VudGluZWxfZmFpbG92ZXJfdGVzdC5weQ==) | `87.21% <0%> (-1.51%)` | :arrow_down: |
| [aioredis/commands/pubsub.py](https://codecov.io/gh/aio-libs/aioredis/pull/239?src=pr&el=tree#diff-YWlvcmVkaXMvY29tbWFuZHMvcHVic3ViLnB5) | `95.85% <0%> (-0.36%)` | :arrow_down: |
| [aioredis/sentinel/\_\_init\_\_.py](https://codecov.io/gh/aio-libs/aioredis/pull/239?src=pr&el=tree#diff-YWlvcmVkaXMvc2VudGluZWwvX19pbml0X18ucHk=) | `100% <0%> (ø)` | :arrow_up: |
| [aioredis/commands/server.py](https://codecov.io/gh/aio-libs/aioredis/pull/239?src=pr&el=tree#diff-YWlvcmVkaXMvY29tbWFuZHMvc2VydmVyLnB5) | `85.23% <0%> (+1.34%)` | :arrow_up: |

------

[Continue to review full report at Codecov](https://codecov.io/gh/aio-libs/aioredis/pull/239?src=pr&el=continue).
> **Legend** - [Click here to learn more](https://docs.codecov.io/docs/codecov-delta)
> `Δ = absolute <relative> (impact)`, `ø = not affected`, `? = missing data`
> Powered by [Codecov](https://codecov.io/gh/aio-libs/aioredis/pull/239?src=pr&el=footer). Last update [a9c386d...6e7ea11](https://codecov.io/gh/aio-libs/aioredis/pull/239?src=pr&el=lastupdated). Read the [comment docs](https://docs.codecov.io/docs/pull-request-comments).
",nan,nan
