rectype,issueid,project_owner,project_name,actor,time,text,action,title,clean_text
rectype,issueid,project_owner,project_name,actor,time,text,action,title,text
issue_title,390,pycqa,astroid,euresti,2017-01-26 06:41:36,"### Fixes / new features
- Adds support so typing.NamedTuple(...) actually infers something useful.
",start issue,Add inference for typing.NamedTuple,fix new featur add support typingnamedtupl actual infer someth use
issue_closed,390,pycqa,astroid,PCManticore,2017-03-01 09:16:44,,closed issue,Add inference for typing.NamedTuple,
pull_request_title,390,pycqa,astroid,euresti,2017-01-26 06:41:36,"### Fixes / new features
- Adds support so typing.NamedTuple(...) actually infers something useful.
",cfe156629037195eeb43181efa5bdd09eb15c1c0,Add inference for typing.NamedTuple,fix new featur add support typingnamedtupl actual infer someth use
pull_request_merged,390,pycqa,astroid,PCManticore,2017-03-01 09:16:44,Add inference for typing.NamedTuple,8b1806802047b59bc316578689d5d7421b930e10,Pull request merge from euresti/astroid:brain_typing_namedtuple to PyCQA/astroid:master,add infer typingnamedtupl
issue_comment,390,pycqa,astroid,coveralls,2017-01-26 06:45:30,"
[![Coverage Status](https://coveralls.io/builds/9850372/badge)](https://coveralls.io/builds/9850372)

Coverage decreased (-2.2%) to 87.126% when pulling **abf03d062a53208d662a973c34cd395907c1987d on euresti:brain_typing_namedtuple** into **a9430c92981124e1868c525a29f053f0d7661e4b on PyCQA:master**.
",,,coverag statu coverag decreas 22 87126 pull abf03d062a53208d662a973c34cd395907c1987d eurestibraintypingnamedtupl a9430c92981124e1868c525a29f053f0d7661e4b pycqamast
issue_comment,390,pycqa,astroid,rogalski,2017-02-28 19:35:09,@euresti are you willing to make tests all tests pass and finish up this change? It would be nice to have it before releasing Pylint 1.7.0 (first release wih Python 3.6 support).,,,euresti will make test test pass finish chang It would nice releas pylint 170 first releas wih python 36 support
issue_comment,390,pycqa,astroid,euresti,2017-03-01 00:38:25,Sorry for the delay I'll work on this today or tomorrow.,,,sorri delay ill work today tomorrow
issue_comment,390,pycqa,astroid,euresti,2017-03-01 06:51:16,Ok hope that's good enough.  ,,,Ok hope that good enough
issue_comment,390,pycqa,astroid,PCManticore,2017-03-01 09:17:04,Thanks so much @euresti for this! Thank you @rogalski for helping with the review.,,,thank much euresti thank rogalski help review
pull_request_commit_comment,390,pycqa,astroid,PCManticore,2017-02-09 09:00:07,This can raise ``InferenceError``. We need to catch it and raise ``UseInferenceDefault`` instead.,cfe156629037195eeb43181efa5bdd09eb15c1c0,"(None, '', u'astroid/brain/brain_typing.py')",thi rais inferenceerror We need catch rais useinferencedefault instead
pull_request_commit_comment,390,pycqa,astroid,PCManticore,2017-02-13 22:20:58,Why would this block raise AttributeError?,cfe156629037195eeb43181efa5bdd09eb15c1c0,"(None, '', u'astroid/brain/brain_typing.py')",whi would block rais attributeerror
pull_request_commit_comment,390,pycqa,astroid,euresti,2017-02-17 14:50:18,"Well I'm not checking whether `node.args[1]` actually has an `elts` Or whether that elt has more elts in `elt.elts[0]`
  ",cfe156629037195eeb43181efa5bdd09eb15c1c0,"(None, '', u'astroid/brain/brain_typing.py')",well Im check whether actual Or whether elt elt
pull_request_commit_comment,390,pycqa,astroid,euresti,2017-02-17 14:50:57,I'll fix this.,cfe156629037195eeb43181efa5bdd09eb15c1c0,"(None, '', u'astroid/brain/brain_typing.py')",ill fix
pull_request_commit_comment,390,pycqa,astroid,rogalski,2017-02-19 20:06:22,Decorate it with `@test_utils.require_version('3.6')`,cfe156629037195eeb43181efa5bdd09eb15c1c0,"(None, '', u'astroid/tests/unittest_brain.py')",decor
pull_request_commit_comment,390,pycqa,astroid,rogalski,2017-02-19 20:09:10,Maybe moving it just above actual usage is a good idea?,cfe156629037195eeb43181efa5bdd09eb15c1c0,"(None, '', u'astroid/brain/brain_typing.py')",mayb move actual usag good idea
pull_request_commit_comment,390,pycqa,astroid,rogalski,2017-02-19 20:11:11,"I'd limit catching AttributeErrpr just to `node.args[1].elts`.

Can you clarify second statement in comment above?",cfe156629037195eeb43181efa5bdd09eb15c1c0,"(None, '', u'astroid/brain/brain_typing.py')",Id limit catch attributeerrpr can clarifi second statement comment
pull_request_commit_comment,390,pycqa,astroid,euresti,2017-03-01 00:47:39,"`node.args[1].elts` can raise an AttributeError if node.args[1] is not a Tuple.
`elt.elts` can also raise an AttributeError if node.args[1] is a Tuple but doesn't have a Tuple inside it.

I can add a bunch of isinstance checks if you like.
",cfe156629037195eeb43181efa5bdd09eb15c1c0,"(None, '', u'astroid/brain/brain_typing.py')",rais attributeerror nodeargs1 tupl also rais attributeerror nodeargs1 tupl doesnt tupl insid I add bunch isinst check like
pull_request_commit_comment,390,pycqa,astroid,euresti,2017-03-01 00:48:08,Technically typing is available in python2 also but in pypi.  Though for tests maybe I should limit it to 3.6,cfe156629037195eeb43181efa5bdd09eb15c1c0,"(None, '', u'astroid/tests/unittest_brain.py')",technic type avail python2 also pypi though test mayb I limit 36
pull_request_commit_comment,390,pycqa,astroid,euresti,2017-03-01 00:48:28,Will do,cfe156629037195eeb43181efa5bdd09eb15c1c0,"(None, '', u'astroid/brain/brain_typing.py')",will
pull_request_commit,390,pycqa,astroid,david@dropbox.com,2017-01-05 15:33:03,Add inference for typing.NamedTuple,f3d76aabc725d87a897af1d3d4bffe2fb5d7431f,,add infer typingnamedtupl
pull_request_commit,390,pycqa,astroid,david@dropbox.com,2017-03-01 06:00:32,Code review comments,cf3b1cb0e84ee97957567c3362c1005fc12b533b,,code review comment
pull_request_commit,390,pycqa,astroid,david@dropbox.com,2017-03-01 06:27:44,Fix tests,5208bd413a8135bd449ad1cc4319edcf4700343e,,fix test
pull_request_commit,390,pycqa,astroid,david@dropbox.com,2017-03-01 06:44:55,Fix lint issues,cfe156629037195eeb43181efa5bdd09eb15c1c0,,fix lint issu
