rectype,issueid,project_owner,project_name,actor,time,text,action,title,clean_text
rectype,issueid,project_owner,project_name,actor,time,text,action,title,text
issue_title,571,nilearn,nilearn,dohmatob,2015-05-04 14:30:09,,start issue,[MRG+1] BF: issue #570 (including tests),
issue_closed,571,nilearn,nilearn,AlexandreAbraham,2015-05-11 07:56:18,,closed issue,[MRG+1] BF: issue #570 (including tests),
pull_request_title,571,nilearn,nilearn,dohmatob,2015-05-04 14:30:09,,56b4ca29e1d4815064dff2e1b1cb4bdff8deab00,[MRG+1] BF: issue #570 (including tests),
pull_request_merged,571,nilearn,nilearn,AlexandreAbraham,2015-05-11 07:56:18,[MRG+1] BF: issue #570 (including tests),a73a4d675b5807073fde3ec195b53dcd515cf05c,Pull request merge from dohmatob/nilearn:fix-ica-sign to nilearn/nilearn:master,mrg1 BF issu 570 includ test
issue_comment,571,nilearn,nilearn,GaelVaroquaux,2015-05-09 09:30:35,"No further comments from me: should be mergeable once the above comments are addressed.
",,,No comment mergeabl comment address
issue_comment,571,nilearn,nilearn,GaelVaroquaux,2015-05-09 12:46:31,"Don't worry about the coverage report. 
",,,dont worri coverag report
issue_comment,571,nilearn,nilearn,GaelVaroquaux,2015-05-09 13:55:06,":+1: for merge.
",,,1 merg
issue_comment,571,nilearn,nilearn,dohmatob,2015-05-05 08:49:10,"3 ==> 2 subjects in test.
",,,3
issue_comment,571,nilearn,nilearn,dohmatob,2015-05-05 08:49:56,"sum ==> max heuristic
",,,sum
issue_comment,571,nilearn,nilearn,dohmatob,2015-05-09 11:14:59,"OK, I've completed my end of the deal.
",,,OK ive complet end deal
issue_comment,571,nilearn,nilearn,dohmatob,2015-05-09 11:35:32,"OK, the coveralls threshold (for acceptable % coverage decrease) seems crazy :)  Is 0.01 not simply too tiny ?

Also it seems to me about have of the open / half-closed PRs are affected same way. Any thoughts ?
",,,OK coveral threshold accept coverag decreas seem crazi Is 001 simpli tini also seem open halfclos pr affect way ani thought
pull_request_commit_comment,571,nilearn,nilearn,GaelVaroquaux,2015-05-07 14:01:00,"I don't understand the few lines above: what are they there for? It seems that they are not used.
",56b4ca29e1d4815064dff2e1b1cb4bdff8deab00,"(None, '', u'nilearn/decomposition/tests/test_canica.py')",I dont understand line It seem use
